time_limit,total_pnl,hit_20mfe,missed,hit_rate,avg_pnl
2,0.0014440000000004167,0,62,0.0,2.3290322580651883e-05
3,-0.0013059999999995796,0,62,0.0,-2.1064516129025478e-05
4,-0.0030839999999994656,0,62,0.0,-4.974193548386235e-05
5,-0.0021269999999998642,0,62,0.0,-3.430645161290103e-05
6,-0.00281299999999974,0,62,0.0,-4.5370967741931296e-05
7,-0.003989000000000314,0,62,0.0,-6.433870967742443e-05
8,-0.0040749999999997325,0,62,0.0,-6.572580645160859e-05
9,-0.005409999999999496,0,62,0.0,-8.72580645161209e-05
10,-0.008178999999999818,0,62,0.0,-0.00013191935483870674
11,-0.006070000000000171,0,62,0.0,-9.790322580645437e-05
12,-0.007016999999999926,0,62,0.0,-0.00011317741935483752
13,-0.005761999999999901,0,62,0.0,-9.293548387096614e-05
14,-0.006333000000000083,0,62,0.0,-0.00010214516129032393
15,-0.007479999999999841,0,62,0.0,-0.00012064516129032002
16,-0.007235999999999602,0,62,0.0,-0.00011670967741934842
17,0.39066,2,60,3.225806451612903,0.006300967741935484
18,0.5881930000000006,3,59,4.838709677419355,0.009486983870967752
19,0.5871120000000004,3,59,4.838709677419355,0.009469548387096781
20,0.5859670000000006,3,59,4.838709677419355,0.0094510806451613
21,0.5819890000000004,3,59,4.838709677419355,0.009386919354838716
22,0.7773990000000005,4,58,6.451612903225806,0.012538693548387105
23,0.7758010000000004,4,58,6.451612903225806,0.012512919354838717
24,0.7729500000000006,4,58,6.451612903225806,0.012466935483870976
25,0.7713450000000004,4,58,6.451612903225806,0.01244104838709678
26,0.7716650000000003,4,58,6.451612903225806,0.01244620967741936
27,0.7713700000000003,4,58,6.451612903225806,0.01244145161290323
28,0.7700540000000002,4,58,6.451612903225806,0.012420225806451617
29,0.9684880000000002,5,57,8.064516129032258,0.015620774193548391
30,1.1649029999999996,6,56,9.67741935483871,0.01878875806451612
