time_limit_min,total_pnl,hit_20mfe,missed_20mfe,hit_rate,avg_pnl
2,0.14440000000004155,0,62,0.0,0.0023290322580651864
3,-0.13059999999995864,0,62,0.0,-0.0021064516129025586
4,-0.3083999999999471,0,62,0.0,-0.0049741935483862436
5,-0.2126999999999863,0,62,0.0,-0.0034306451612901015
6,-0.28129999999997374,0,62,0.0,-0.0045370967741931246
7,-0.3989000000000305,0,62,0.0,-0.006433870967742427
8,-0.40749999999997266,0,62,0.0,-0.006572580645160849
9,-0.5409999999999491,0,62,0.0,-0.008725806451612082
10,-0.8178999999999814,0,62,0.0,-0.013191935483870668
11,-0.6070000000000163,0,62,0.0,-0.009790322580645425
12,-0.7016999999999917,0,62,0.0,-0.011317741935483737
13,-0.5761999999999899,0,62,0.0,-0.009293548387096612
14,-0.6333000000000086,0,62,0.0,-0.010214516129032397
15,-0.7479999999999836,0,62,0.0,-0.012064516129031993
16,-0.7235999999999605,0,62,0.0,-0.011670967741934846
17,-0.5340000000000056,2,60,3.225806451612903,-0.008612903225806542
18,-0.5806999999999516,3,59,4.838709677419355,-0.009366129032257284
19,-0.6887999999999556,3,59,4.838709677419355,-0.011109677419354123
20,-0.8032999999999448,3,59,4.838709677419355,-0.012956451612902336
21,-1.20109999999996,3,59,4.838709677419355,-0.019372580645160647
22,-1.4600999999999746,4,58,6.451612903225806,-0.023549999999999592
23,-1.6198999999999617,4,58,6.451612903225806,-0.026127419354838092
24,-1.904999999999964,4,58,6.451612903225806,-0.030725806451612322
25,-2.065499999999956,4,58,6.451612903225806,-0.03331451612903155
26,-2.033499999999986,4,58,6.451612903225806,-0.03279838709677397
27,-2.0629999999999655,4,58,6.451612903225806,-0.03327419354838654
28,-2.1945999999999817,4,58,6.451612903225806,-0.03539677419354809
29,-2.1511999999999993,5,57,8.064516129032258,-0.03469677419354838
30,-2.309700000000002,6,56,9.67741935483871,-0.03725322580645165
