cutoff,tp_hits,time_exits,total,win_rate,pnl,vs_actual
2,0,62,62,0.0,0.22260000000003857,-14.637399999999957
3,0,62,62,0.0,-0.1563999999999487,-15.016399999999944
4,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
5,0,62,62,0.0,-0.13719999999996618,-14.997199999999962
6,0,62,62,0.0,-0.296099999999988,-15.156099999999984
7,0,62,62,0.0,-0.33620000000001704,-15.196200000000013
8,0,62,62,0.0,-0.42629999999997364,-15.286299999999969
9,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
10,0,62,62,0.0,-0.7671999999999661,-15.627199999999963
11,0,62,62,0.0,-0.6307000000000154,-15.490700000000011
12,0,62,62,0.0,-0.5532999999999992,-15.413299999999996
13,0,62,62,0.0,-0.5307999999999813,-15.390799999999977
14,0,62,62,0.0,-0.610600000000013,-15.470600000000008
15,0,62,62,0.0,-0.8005999999999855,-15.660599999999981
16,0,62,62,0.0,-0.6994999999999529,-15.559499999999948
17,2,60,62,3.225806451612903,-0.5719999999999983,-15.431999999999995
18,3,59,62,4.838709677419355,-0.5839999999999601,-15.443999999999956
19,3,59,62,4.838709677419355,-0.7043999999999595,-15.564399999999955
20,3,59,62,4.838709677419355,-0.7619999999999528,-15.621999999999948
21,3,59,62,4.838709677419355,-1.2008999999999466,-16.060899999999943
22,4,58,62,6.451612903225806,-1.3914999999999778,-16.251499999999975
23,4,58,62,6.451612903225806,-1.6653999999999634,-16.52539999999996
24,4,58,62,6.451612903225806,-1.8835999999999695,-16.743599999999965
25,4,58,62,6.451612903225806,-2.121799999999967,-16.981799999999964
26,4,58,62,6.451612903225806,-2.0102999999999884,-16.870299999999986
27,4,58,62,6.451612903225806,-2.017099999999946,-16.877099999999942
28,4,58,62,6.451612903225806,-2.2112999999999827,-17.07129999999998
29,5,57,62,8.064516129032258,-2.138500000000003,-16.9985
30,6,56,62,9.67741935483871,-2.286899999999996,-17.14689999999999
