tp,max_candles,tp_hits,time_exits,total,win_rate,pnl,vs_actual
0.15,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.15,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.15,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.15,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.15,15,5,57,62,8.064516129032258,-0.5804000000000086,-15.440400000000004
0.15,20,8,54,62,12.903225806451612,-0.7142999999999573,-15.574299999999953
0.15,30,11,51,62,17.741935483870968,-2.2994000000000057,-17.1594
0.2,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.2,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.2,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.2,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.2,15,0,62,62,0.0,-0.610600000000013,-15.470600000000008
0.2,20,3,59,62,4.838709677419355,-0.7043999999999595,-15.564399999999955
0.2,30,5,57,62,8.064516129032258,-2.138500000000003,-16.9985
0.25,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.25,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.25,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.25,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.25,15,0,62,62,0.0,-0.610600000000013,-15.470600000000008
0.25,20,0,62,62,0.0,-0.645199999999968,-15.505199999999963
0.25,30,3,59,62,4.838709677419355,-2.0770999999999997,-16.937099999999994
0.3,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.3,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.3,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.3,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.3,15,0,62,62,0.0,-0.610600000000013,-15.470600000000008
0.3,20,0,62,62,0.0,-0.645199999999968,-15.505199999999963
0.3,30,0,62,62,0.0,-2.190200000000004,-17.0502
0.4,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.4,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.4,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.4,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.4,15,0,62,62,0.0,-0.610600000000013,-15.470600000000008
0.4,20,0,62,62,0.0,-0.645199999999968,-15.505199999999963
0.4,30,0,62,62,0.0,-2.190200000000004,-17.0502
0.5,2,0,62,62,0.0,0.10710000000005492,-14.752899999999942
0.5,3,0,62,62,0.0,0.22260000000003857,-14.637399999999957
0.5,5,0,62,62,0.0,-0.27749999999995445,-15.13749999999995
0.5,10,0,62,62,0.0,-0.5428999999999723,-15.402899999999969
0.5,15,0,62,62,0.0,-0.610600000000013,-15.470600000000008
0.5,20,0,62,62,0.0,-0.645199999999968,-15.505199999999963
0.5,30,0,62,62,0.0,-2.190200000000004,-17.0502
