tp,optimal_time,win_rate,total_pnl,avg_pnl
0.2,3,0.0,0.13260000000002037,7.374860956619598e-05
0.3,3,0.0,0.13260000000002037,7.374860956619598e-05
0.4,3,0.0,0.13260000000002037,7.374860956619598e-05
0.5,3,0.0,0.13260000000002037,7.374860956619598e-05
0.6,3,0.0,0.13260000000002037,7.374860956619598e-05
0.7,3,0.0,0.13260000000002037,7.374860956619598e-05
0.8,3,0.0,0.13260000000002037,7.374860956619598e-05
1.0,3,0.0,0.13260000000002037,7.374860956619598e-05
1.5,3,0.0,0.13260000000002037,7.374860956619598e-05
2.0,3,0.0,0.13260000000002037,7.374860956619598e-05
