cutoff,tp_hits,time_exits,total,win_rate,simulated_pnl,vs_actual
2,59,3,62,95.16129032258065,11.746899999999997,-3.1130999999999993
3,60,2,62,96.7741935483871,11.951499999999985,-2.9085000000000107
4,60,2,62,96.7741935483871,11.95829999999998,-2.901700000000016
5,61,1,62,98.38709677419355,12.151999999999987,-2.708000000000009
6,61,1,62,98.38709677419355,12.15459999999999,-2.7054000000000062
7,61,1,62,98.38709677419355,12.132999999999981,-2.7270000000000145
8,61,1,62,98.38709677419355,12.138199999999985,-2.7218000000000107
9,61,1,62,98.38709677419355,12.099499999999987,-2.7605000000000093
10,61,1,62,98.38709677419355,12.053599999999985,-2.8064000000000107
11,61,1,62,98.38709677419355,12.040599999999984,-2.8194000000000123
12,61,1,62,98.38709677419355,12.026999999999987,-2.833000000000009
13,61,1,62,98.38709677419355,12.022399999999987,-2.837600000000009
14,61,1,62,98.38709677419355,12.06129999999999,-2.7987000000000055
15,61,1,62,98.38709677419355,12.070299999999985,-2.7897000000000105
16,61,1,62,98.38709677419355,12.04379999999999,-2.8162000000000056
17,61,1,62,98.38709677419355,12.071099999999985,-2.7889000000000106
18,61,1,62,98.38709677419355,12.065999999999983,-2.794000000000013
19,61,1,62,98.38709677419355,12.058499999999983,-2.801500000000013
20,61,1,62,98.38709677419355,12.047899999999988,-2.812100000000008
21,61,1,62,98.38709677419355,12.024899999999986,-2.8351000000000095
22,61,1,62,98.38709677419355,11.985599999999984,-2.874400000000012
23,61,1,62,98.38709677419355,11.998199999999986,-2.8618000000000094
24,61,1,62,98.38709677419355,12.010399999999988,-2.8496000000000077
25,61,1,62,98.38709677419355,12.022499999999988,-2.8375000000000075
26,61,1,62,98.38709677419355,12.031599999999987,-2.828400000000009
27,61,1,62,98.38709677419355,12.026399999999983,-2.833600000000013
28,61,1,62,98.38709677419355,12.039699999999982,-2.820300000000014
29,61,1,62,98.38709677419355,12.045599999999984,-2.8144000000000116
30,61,1,62,98.38709677419355,12.046799999999983,-2.8132000000000126
