Multiplier,Total Outcome,SL Hits,Hit Rate %,Wins,Losses,Positions
4.0,-15905.720000000014,760,98.95833333333334,8,760,768
4.5,-17566.31500000003,757,98.56770833333334,11,757,768
5.0,-19456.65000000001,755,98.30729166666666,13,755,768
5.5,-21280.124999999967,753,98.046875,15,753,768
6.0,-23717.49999999998,753,98.046875,15,753,768
6.5,-25904.08,752,97.91666666666666,16,752,768
7.0,-27567.460000000032,750,97.65625,18,750,768
7.5,-29482.94999999999,748,97.39583333333334,20,748,768
8.0,-31467.24000000003,747,97.265625,21,747,768
8.5,-33887.38000000003,747,97.265625,21,747,768
9.0,-34637.730000000054,744,96.875,24,744,768
9.5,-36622.549999999945,743,96.74479166666666,25,743,768
10.0,-39025.00000000002,743,96.74479166666666,25,743,768
