Multiplier,Total Outcome,Wins,Losses,Win Rate %,PT Hits,SL Hits,Time Exits,Positions
4.0,-43122.0,603,165,78.515625,597,54,117,768
4.5,-31259.5,607,161,79.03645833333334,601,41,126,768
5.0,-37950.5,607,161,79.03645833333334,601,38,129,768
5.5,-33861.5,610,158,79.42708333333334,604,28,136,768
6.0,-34161.0,610,158,79.42708333333334,604,23,141,768
6.5,-38560.5,610,158,79.42708333333334,604,23,141,768
7.0,-39119.0,610,158,79.42708333333334,604,20,144,768
7.5,-42672.5,610,158,79.42708333333334,604,20,144,768
8.0,-45341.0,610,158,79.42708333333334,604,17,147,768
8.5,-47267.0,610,158,79.42708333333334,604,14,150,768
9.0,-49469.0,610,158,79.42708333333334,604,14,150,768
9.5,-51671.0,610,158,79.42708333333334,604,14,150,768
10.0,-50699.0,610,158,79.42708333333334,604,12,152,768
